제목,시작일,종료일,장소,이미지 URL
일장춘몽 (一場春夢),2025.03.14.,2025.04.19.,에이치플럭스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250310_281%2F1741589191468fnX4f_PNG%2F360_main_thumb_url_1741589191453.png
NEW HIGHS,2025.03.06.,2025.04.30.,기아 언플러그드 그라운드,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250310_121%2F17415855992390yD0J_PNG%2F360_main_thumb_url_1741585599225.png
"굴절, 파장",2025.03.20.,2025.04.19.,갤러리더씨,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250310_58%2F1741583278758J8IvN_JPEG%2F360_main_thumb_url_1741583278746.jpg
합성열병 synthetic fever,2025.03.19.,2025.06.28.,스페이스 씨,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250307_86%2F17413398475205j939_PNG%2F360_main_thumb_url_1741339847501.png
88 DOUBLES,2025.03.06.,2025.04.16.,오우도,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250306_18%2F1741242576140ay4dY_JPEG%2F360_main_thumb_url_1741242576009.jpg
"寒樹, 고요한 맥박",2025.03.13.,2025.05.04.,우리옛돌박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250305_13%2F1741160984697dNOpi_JPEG%2F360_main_thumb_url_1741160984689.jpg
홍일화 : 가야의 숲,2025.03.07.,2025.04.11.,갤러리마리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250305_113%2F1741153415742heb6r_JPEG%2F360_main_thumb_url_1741153415590.jpg
하이퍼 옐로우,2025.02.28.,2025.04.20.,일민미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250304_88%2F1741055686971nHGhd_JPEG%2F360_main_thumb_url_1741055686961.jpg
A Powerful Pure Day,2025.03.01.,2025.04.19.,KT&G 상상마당,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250304_2%2F1741054334975K9vND_JPEG%2F360_main_thumb_url_1741054334945.jpg
도쿄卍리벤저스展,2025.03.29.,2025.06.29.,덕스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250228_230%2F1740735076763VBk56_JPEG%2F360_main_thumb_url_1740735076753.jpg
"별밤, 이고르 오를로프 전",2025.03.06.,2025.05.04.,갤러리까르찌나,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250228_190%2F1740721503627X3V8y_PNG%2F360_main_thumb_url_1740721503600.png
티틴: 다시 만난 세계,2025.03.14.,2025.04.25.,노블레스 컬렉션,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250227_24%2F17406477755573XJYi_PNG%2F360_main_thumb_url_1740647775512.png
19+16,2025.03.04.,2025.06.28.,통일부남북통합문화센터,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250227_201%2F17406468922433jSPc_PNG%2F360_main_thumb_url_1740646892183.png
천경우 : Bird Listener,2025.03.01.,2025.05.25.,롯데백화점 잠실점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250226_271%2F1740538654391vgdgp_PNG%2F360_main_thumb_url_1740538654271.png
나는 웃으며 잠에서 깼다 I woke up laughing,2025.03.08.,2025.04.19.,아트센터 예술의 시간,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250226_123%2F1740534660520ASVct_JPEG%2F360_main_thumb_url_1740534660496.jpg
필립 콜버트 : PRINTS AND EDITIONS,2025.03.13.,2025.04.19.,아트조선스페이스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250307_162%2F1741338610909twzO9_JPEG%2F360_36548927_main_thumb_url_1741338610882.jpg
PIXAR ART COLLECTION : Magic for Love,2025.02.27.,2025.05.18.,MPX GALLERY,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_279%2F1744166856768YicIG_JPEG%2F360_36534747_main_thumb_url_1744166856737.jpg
로봇드림: 백남준 팩토리 아카이브,2025.03.05.,2025.04.27.,세종문화회관 미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250220_176%2F17400289534823eVLt_JPEG%2F360_main_thumb_url_1740028953468.jpg
"미음완보, 전통정원을 거닐다",2025.02.24.,2025.04.27.,세종문화회관 미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250220_97%2F17400286447546qBFz_JPEG%2F360_main_thumb_url_1740028644744.jpg
유현경 : 나는 피안으로 간다,2025.02.28.,2025.04.11.,갤러리JJ,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250220_13%2F1740023684098TgA3B_JPEG%2F360_main_thumb_url_1740023684078.jpg
티베트의 불교공예,2025.03.04.,2025.06.29.,화정박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250214_229%2F1739523994953BHFtj_JPEG%2F360_main_thumb_url_1739523994943.jpg
반 고흐 인사이드: 더 씨어터,2025.02.07.,2025.04.20.,그라운드시소 명동,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250213_258%2F1739428839922KVcaN_JPEG%2F360_main_thumb_url_1739428839905.jpg
"바람이 불어오는 곳 : The Wind Blows, Hope Begins",2025.02.07.,2025.04.13.,롯데백화점 본점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250213_38%2F1739413536033yC0qJ_PNG%2F360_main_thumb_url_1739413535894.png
이비 : 비츠로의 초대,2025.03.17.,2025.05.07.,서울서부지방법원,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250212_98%2F17393435867485Wbeq_JPEG%2F360_main_thumb_url_1739343586705.jpg
갤러리탐 59기 : 김묘빈 개인전,2025.01.25.,2025.04.30.,탐앤탐스 창동본점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250211_72%2F1739263536958JLCo4_JPEG%2F360_main_thumb_url_1739263536932.jpg
갤러리탐 59기 : 루시드로잉 개인전,2025.01.18.,2025.04.30.,탐앤탐스 블랙그레이트점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250211_31%2F1739263320130KFes8_JPEG%2F360_main_thumb_url_1739263320074.jpg
이재삼 : 달빛녹취록 2020-2024,2025.02.19.,2025.04.20.,사비나미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250211_150%2F1739255092956m2Rep_JPEG%2F360_main_thumb_url_1739255092897.jpg
아르누보의 꽃 : 알폰스 무하 원화전,2025.03.20.,2025.07.13.,마이아트뮤지엄,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250211_124%2F1739242372145JhAA5_JPEG%2F360_main_thumb_url_1739242372059.jpg
새들의 그림정원,2025.03.04.,2025.06.29.,화정박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250211_160%2F1739240534275eSU2z_JPEG%2F360_main_thumb_url_1739240534258.jpg
무기세 (武器世),2025.02.06.,2025.05.04.,서울대학교미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250210_7%2F1739174441858yfA28_PNG%2F360_main_thumb_url_1739174441848.png
알바로 베링턴 : Soul to Seoul,2025.02.14.,2025.04.12.,타데우스 로팍 서울,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250210_263%2F1739159246610hpsn1_JPEG%2F360_main_thumb_url_1739159246504.jpg
위대한 뮤지션 100인 전 Vol.1,2025.02.15.,2025.05.11.,현대백화점 무역센터점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250205_204%2F17387339560584Vaw5_JPEG%2F360_main_thumb_url_1738733956037.jpg
Love of Life,2025.01.15.,2025.04.11.,아트밸류 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250204_3%2F1738637952292NOYu8_JPEG%2F360_main_thumb_url_1738637952251.jpg
TV 애니메이션 최애의 아이展,2025.03.22.,2025.06.08.,덕스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250131_292%2F1738305643500lgs53_JPEG%2F360_main_thumb_url_1738305643447.jpg
생동하는 선,2025.01.22.,2025.04.18.,무아,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250122_209%2F1737512277677KlVlC_PNG%2F360_main_thumb_url_1737512277650.png
사물들의 힘,2025.01.13.,2025.04.25.,스페이스 이수,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250114_264%2F1736837488140XWi4A_JPEG%2F360_main_thumb_url_1736837488091.jpg
"인상파, 모네에서 미국으로: 빛, 바다를 건너다",2025.02.15.,2025.05.26.,ALT.1 더현대서울현대백화점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250108_218%2F17362989901085JLXM_JPEG%2F360_main_thumb_url_1736298990051.jpg
말끔하다: 월전 장우성의 산수화,2025.04.10.,2025.07.13.,이천시립월전미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250409_72%2F1744182071064vGpip_PNG%2F360_main_thumb_url_1744182070699.png
나를 두른 울타리,2025.04.10.,2025.05.23.,제이 무브먼트 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_174%2F1744092120249B7L08_JPEG%2F360_main_thumb_url_1744092120154.jpg
이보윤 : 브라보 마이 라이프,2025.03.10.,2025.04.30.,갤러리탐 롯데백화점 중동점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250408_100%2F1744083056701doHbM_JPEG%2F360_main_thumb_url_1744083056639.jpg
살구씨 : Blooming,2025.04.01.,2025.06.30.,유치환의우체통,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_168%2F1743748775175bnYFl_JPEG%2F360_main_thumb_url_1743748775134.jpg
甲 of 甲 부산 갑옷,2025.04.08.,2025.05.11.,부산박물관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_285%2F174374737695960Unr_PNG%2F360_main_thumb_url_1743747376935.png
DRAW ME A SHEEP,2025.03.31.,2025.06.30.,몬스터스토리지 인천역점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_167%2F17437463996402YKtD_PNG%2F360_main_thumb_url_1743746399622.png
"생태통로 : 생명의 길, 공존의 길",2025.04.05.,2025.06.28.,김포평화문화관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_129%2F1743572624791rGqCe_PNG%2F360_main_thumb_url_1743572624756.png
POP-Bridge : Korea x Japan,2025.04.10.,2025.06.22.,금정문화회관 금샘미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250402_82%2F1743565913532bxqD4_JPEG%2F360_main_thumb_url_1743565913511.jpg
정중동 靜中動: Motion in stillness,2025.03.12.,2025.05.12.,웨트러스트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_39%2F17431436690739Cdh2_JPEG%2F360_main_thumb_url_1743143669025.jpg
"황금빛 영원, 색채의 선율",2025.04.01.,2025.05.31.,김포미디어아트센터,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250326_137%2F1742968782808tXARK_JPEG%2F360_main_thumb_url_1742968782782.jpg
감각 너머 예술,2025.04.04.,2025.06.28.,갤러리 끼 PAJU,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250326_141%2F1742960472348Xj9Mk_JPEG%2F360_main_thumb_url_1742960472263.jpg
매화 오니 봄이 피네,2025.03.26.,2025.06.14.,작은미술관 보구곶,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_279%2F1742872628506umGh1_JPEG%2F360_main_thumb_url_1742872628491.jpg
한글실험프로젝트 <근대한글연구소>,2025.04.01.,2025.06.29.,김포아트빌리지,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_124%2F1742872414891MJ1wh_PNG%2F360_main_thumb_url_1742872414880.png
봄의 전령 나비와 미리 만나 봄,2025.02.18.,2025.04.20.,일월수목원 방문자센터(햇빛정원),https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_48%2F1742805258084qbLhl_JPEG%2F360_main_thumb_url_1742805258075.jpg
Vivid Touch,2025.04.05.,2025.05.10.,갤러리 플레이리스트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_51%2F1742800342560u9hau_JPEG%2F360_main_thumb_url_1742800342549.jpg
Layers of,2025.04.05.,2025.05.10.,갤러리 플레이리스트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_120%2F17427963989586VQxX_JPEG%2F360_main_thumb_url_1742796398830.jpg
"그리움의 풍경, 희망의 빛",2025.03.15.,2025.04.30.,애기봉평화생태공원,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250321_234%2F1742527966323Q5L0c_JPEG%2F360_main_thumb_url_1742527966296.jpg
In Your Dreams,2025.03.07.,2025.05.23.,덴아트갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250319_227%2F1742367325765jjslc_JPEG%2F360_main_thumb_url_1742367325753.jpg
(...)그럼에도 불구하고(   ),2025.04.08.,2025.06.21.,트라이보울,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250319_161%2F1742355772630WcrYu_JPEG%2F360_main_thumb_url_1742355772567.jpg
세븐 이퀄 시그마,2025.03.23.,2025.04.26.,아이테르 범일가옥,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250318_72%2F1742267378693XPnIK_JPEG%2F360_main_thumb_url_1742267378662.jpg
프레데릭 루시앙,2025.03.21.,2025.05.11.,어컴퍼니,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_259%2F1742200869916Vik0W_JPEG%2F360_main_thumb_url_1742200869853.jpg
Jupiter,2025.03.15.,2025.04.27.,카린갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_42%2F17421914138454VhRL_JPEG%2F360_main_thumb_url_1742191413828.jpg
SPRING WONDERS,2025.03.15.,2025.04.20.,카린갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_244%2F1742191109928i0tND_JPEG%2F360_main_thumb_url_1742191109859.jpg
우리가 잃어버린 것들,2025.03.15.,2025.04.26.,아트소향,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_287%2F1742179869924fgraD_JPEG%2F360_main_thumb_url_1742179869914.jpg
소장품섬_최찬숙: 밋찌나,2025.03.29.,2025.06.29.,부산현대미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_174%2F1742177427878SbO1O_JPEG%2F360_main_thumb_url_1742177427830.jpg
이은정 개인전,2025.03.15.,2025.05.09.,딥슬립커피,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250314_198%2F1741933395798I2hrV_PNG%2F360_main_thumb_url_1741933395748.png
김덕용 : 우주를 품다,2025.03.13.,2025.05.20.,소울아트스페이스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250310_30%2F1741596171407YjpuL_JPEG%2F360_main_thumb_url_1741596171288.jpg
인천미술은행 신소장품전,2025.03.14.,2025.04.13.,우리미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250304_213%2F1741069080126VIVRX_JPEG%2F360_main_thumb_url_1741069080098.jpg
청동 투구를 쓴 소년,2025.02.27.,2025.06.16.,모카가든,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250304_123%2F1741066567747uvJli_JPEG%2F360_main_thumb_url_1741066567727.jpg
Eternal Moments,2025.03.07.,2025.04.13.,서정아트 부산,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250228_264%2F1740730275822Ey9ew_JPEG%2F360_main_thumb_url_1740730275791.jpg
평화 문해력,2025.03.01.,2025.05.18.,소현문,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250228_134%2F1740714464993AXOGh_JPEG%2F360_main_thumb_url_1740714464953.jpg
Connect: Art and Design,2025.03.06.,2025.04.19.,앤갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250228_150%2F17407127227303NxOg_PNG%2F360_main_thumb_url_1740712722677.png
봄소품,2025.03.06.,2025.04.12.,갤러리위,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250227_123%2F1740648187383EczOu_JPEG%2F360_main_thumb_url_1740648187374.jpg
두께없는 동전,2025.01.20.,2025.05.10.,송정마리나,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250227_190%2F1740643404200FHtmi_JPEG%2F360_main_thumb_url_1740643404189.jpg
채성필 : 물의 초상,2025.03.05.,2025.04.30.,데이트갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250227_80%2F1740642197825QLtAP_JPEG%2F360_36558094_main_thumb_url_1740642197815.jpg
우당탕탕 아빠가 만든 놀이터 시즌2,2025.03.24.,2025.05.03.,군포문화예술회관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250225_261%2F1740466324269voDNm_JPEG%2F360_main_thumb_url_1740466324257.jpg
한국 현대 구상미술의 단면:사실과 재구성展,2025.03.07.,2025.05.06.,양평군립미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250224_286%2F1740374069538hs3JG_PNG%2F360_main_thumb_url_1740374069509.png
Here i stand for you,2025.02.22.,2025.04.30.,이랜드갤러리 헤이리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250221_149%2F1740109955220GFtPC_JPEG%2F360_main_thumb_url_1740109955146.jpg
봄사무소 특별전,2025.03.11.,2025.06.12.,동구 문화플랫폼,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250317_8%2F1742192721444O68RH_JPEG%2F360_36529628_main_thumb_url_1742192721438.jpg
Echo: 관계의 울림,2025.02.12.,2025.04.27.,아트센터 화이트블럭,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250214_146%2F1739500144008aVu57_PNG%2F360_main_thumb_url_1739500143967.png
소유 X 공유,2025.01.08.,2025.04.27.,구하우스 미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250113_201%2F1736736149897J2auR_PNG%2F360_main_thumb_url_1736736149856.png
이상훈 TV 토이뮤지엄,2025.02.21.,2025.05.31.,AK플라자 수원,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250217_193%2F1739764177650jMkDx_JPEG%2F360_36222370_main_thumb_url_1739764177604.jpg
이영란의 감성체험 가루나무모래흙 인천,2025.04.05.,2025.06.29.,남동소래아트홀,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20240214_69%2F1707877759450IU5hE_JPEG%2F360_18611436_main_thumb_url_1707877759435.jpg
이이남의 산수극장,2025.04.04.,2025.07.06.,국립아시아문화전당,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_11%2F1743744515046PLTuW_JPEG%2F360_main_thumb_url_1743744515036.jpg
봄사무소 : 초록빛 하루,2025.04.03.,2025.05.14.,라이크디즈위드 교동점,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250404_68%2F1743743875652fwXty_JPEG%2F360_main_thumb_url_1743743875635.jpg
Face to Face : 마주하다.,2025.03.31.,2025.07.11.,잇츠룸 갤러리카페,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250401_37%2F1743478539741wBkXN_JPEG%2F360_main_thumb_url_1743478539717.jpg
Delight - 환희를 향한 시간과 기억의 미학,2025.04.04.,2025.05.25.,무등현대미술관,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250331_112%2F1743389422534WwMBX_JPEG%2F360_main_thumb_url_1743389422513.jpg
Immersed in the Painting,2025.03.29.,2025.05.11.,윤선갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250328_272%2F17431304782119sm9v_JPEG%2F360_main_thumb_url_1743130478184.jpg
코드F489 : 예술가의 처방전,2025.04.10.,2025.05.17.,예술공간RGA,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_111%2F1742880795221f2NBG_JPEG%2F360_main_thumb_url_1742880795212.jpg
자연은 그렇다 환경은 그렇지 않다,2025.03.28.,2025.04.27.,광주예술의전당,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_81%2F1742872188593N2OVk_JPEG%2F360_main_thumb_url_1742872188582.jpg
둥근달 밤 이야기,2025.04.01.,2025.05.28.,별밤미술관 in선운,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_210%2F1742796581933bpoV4_JPEG%2F360_main_thumb_url_1742796581883.jpg
황혼에서 새벽까지,2025.04.01.,2025.05.28.,별밤미술관 in신창,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_237%2F1742796061311xmShf_JPEG%2F360_main_thumb_url_1742796061300.jpg
마음,2025.04.01.,2025.05.28.,별밤미술관in운남,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_225%2F1742795846487a5KNi_JPEG%2F360_main_thumb_url_1742795846474.jpg
희망-공간 속으로,2025.04.01.,2025.05.28.,별밤미술관 in수완,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_117%2F1742794807446W6YgF_JPEG%2F360_main_thumb_url_1742794807435.jpg
