제목,시작일,종료일,장소,이미지 URL
"Nevertheless, the windmill runs : 그럼에도, 풍차는 돌아간다",2025.03.22.,2025.04.19.,이길이구 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_129%2F1743057705245J35L7_PNG%2F360_main_thumb_url_1743057705188.png
Interhuman: 인간간,2025.04.02.,2025.04.14.,룩인사이드갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_127%2F1743056625806Lf5Sf_PNG%2F360_main_thumb_url_1743056625789.png
정하슬린 : Swan Table,2025.03.29.,2025.04.13.,아크원 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_65%2F1743055020577xU0Io_PNG%2F360_main_thumb_url_1743055020535.png
색(色)과 결(結),2025.04.04.,2025.04.30.,삼원갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_203%2F1743053604851PWMWf_JPEG%2F360_main_thumb_url_1743053604707.jpg
안광식 : REBOM 다시 오나 봄,2025.03.29.,2025.04.20.,미기갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_179%2F1743052984105eORtP_PNG%2F360_main_thumb_url_1743052984091.png
녹는 땅에 피는 것들,2025.03.29.,2025.04.13.,무서록,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250327_49%2F1743047007262rKui9_JPEG%2F360_main_thumb_url_1743047007229.jpg
실과 라일락,2025.03.27.,2025.04.19.,스페이스앤트,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250326_297%2F1742967755545cFCn1_JPEG%2F360_main_thumb_url_1742967755535.jpg
식물이 동물을 먹는다,2025.03.20.,2025.04.12.,PS CENTER,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250326_25%2F1742965838795eSEl9_JPEG%2F360_main_thumb_url_1742965838779.jpg
박소정 : Soft Habit,2025.03.28.,2025.04.13.,오온,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_209%2F1742893917118zjENL_JPEG%2F360_main_thumb_url_1742893917040.jpg
Printemps,2025.04.01.,2025.04.30.,비아캔버스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_129%2F1742893056303I2WBm_JPEG%2F360_main_thumb_url_1742893056268.jpg
Souls of Silence,2025.03.25.,2025.04.12.,아트살롱드아씨,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_70%2F1742882084600Tq4lc_PNG%2F360_main_thumb_url_1742882084591.png
목욕탕에 들어가려면 목욕을 하세요,2025.03.28.,2025.04.18.,히피 한남,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_107%2F1742880082146DyjUA_PNG%2F360_main_thumb_url_1742880082118.png
Something in the Air,2025.03.21.,2025.04.13.,YPC SPACE,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_232%2F1742875184377zuyAl_JPEG%2F360_main_thumb_url_1742875184367.jpg
still life: 그럼에도 불구하고 삶,2025.03.29.,2025.04.13.,갤러리온도,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_286%2F1742871915391K3UwS_JPEG%2F360_main_thumb_url_1742871915385.jpg
INNER POP: 내면을 그리다,2025.04.08.,2025.04.27.,갤러리몸,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250325_138%2F1742870660225BUr5M_JPEG%2F360_main_thumb_url_1742870660165.jpg
넌 내게 특별하고,2025.04.03.,2025.04.27.,MGFS100 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_192%2F1742808166257aIbWN_JPEG%2F360_main_thumb_url_1742808166119.jpg
김영성 : Nothing. Life. Object (무.생.물),2025.03.28.,2025.04.26.,갤러리엠나인,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_228%2F1742804502913jIYsq_PNG%2F360_main_thumb_url_1742804502893.png
겉필링 : 출렁이는 좌표,2025.03.22.,2025.04.19.,서리풀청년아트갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20250324_142%2F1742800558593G2qIz_JPEG%2F360_main_thumb_url_1742800558582.jpg
